11,0.1611,0.2364,,11
18,0.1181,0.2215,,18
28,0.0809,0.1939,6,28
40,0.0482,0.1604,14,40
53,0.0244,0.1241,23,53
68,0,0.0853,33,68
85,-0.0233,0.0355,44,85
5,0.1494,0.286,,5
10,0.0981,0.2653,,10
17,0.0595,0.2377,,17
27,0.0265,0.2021,5,27
39,0,0.1645,13,39
52,-0.0244,0.1241,22,52
67,-0.0477,0.0703,32,67
4,0.0772,0.3131,,4
9,0.0342,0.281,,9
16,0,0.2429,,16
26,-0.0265,0.2021,4,26
38,-0.0482,0.1604,12,38
51,-0.0712,0.1089,21,51
3,0,0.323,,3
8,-0.0342,0.281,,8
15,-0.0595,0.2377,,15
25,-0.0809,0.1939,3,25
37,-0.1005,0.1451,11,37
2,-0.0772,0.3131,,2
7,-0.0981,0.2653,,7
14,-0.1181,0.2215,,14
24,-0.1224,0.1785,2,24
1,-0.1494,0.286,,1
6,-0.1611,0.2364,,6
13,-0.1617,0.1859,1,13
23,-0.1475,0.1406,10,23
36,-0.1233,0.1019,20,36
50,-0.1014,0.0652,31,50
66,-0.0742,0.0261,43,66
84,-0.0398,-0.0141,56,84
12,-0.2128,0.1894,,12
22,-0.1993,0.1379,9,22
35,-0.1725,0.0922,19,35
49,-0.1435,0.0529,30,49
65,-0.1161,0.0152,42,65
83,-0.0767,-0.0274,55,83
21,-0.2503,0.125,,21
34,-0.222,0.0778,18,34
48,-0.189,0.04,29,48
64,-0.1547,0.0016,41,64
82,-0.1167,-0.0404,54,82
33,-0.2702,0.0475,,33
47,-0.2331,0.0135,28,47
63,-0.1932,-0.0168,40,63
81,-0.1584,-0.0525,53,81
46,-0.2751,-0.0301,,46
62,-0.2307,-0.0499,39,62
80,-0.1933,-0.0685,52,80
61,-0.2558,-0.1041,,61
79,-0.2092,-0.1137,51,79
99,-0.1671,-0.1071,65,99
100,-0.126,-0.0995,66,100
101,-0.0857,-0.0856,67,101
102,-0.0448,-0.0687,68,102
103,0,-0.0442,69,103
60,-0.2759,-0.1576,,60
78,-0.2196,-0.1679,,78
98,-0.1732,-0.1598,64,98
114,-0.128,-0.1467,74,114
115,-0.0867,-0.1306,75,115
116,-0.0463,-0.1143,76,116
117,0,-0.0859,77,117
77,-0.2228,-0.2222,,77
97,-0.171,-0.2171,,97
113,-0.1293,-0.1983,,113
127,-0.0864,-0.1785,82,127
128,-0.0458,-0.1555,83,128
139,0,-0.1748,87,139
96,-0.2157,-0.2822,,96
112,-0.1629,-0.2734,,112
126,-0.116,-0.2545,,126
137,-0.0782,-0.2281,,137
138,-0.0393,-0.201,,138
111,-0.2039,-0.335,,111
125,-0.137,-0.3311,,125
136,-0.0908,-0.3074,,136
146,-0.0505,-0.2782,,146
147,-0.0265,-0.2456,,147
148,0,-0.2159,88,148
124,-0.1449,-0.399,,124
135,-0.1015,-0.3677,,135
145,-0.0681,-0.3486,,145
154,-0.0289,-0.3205,,154
155,0,-0.2846,,155
149,0.0265,-0.2456,,149
140,0.0393,-0.201,,140
130,0.0458,-0.1555,85,130
118,0.0463,-0.1143,78,118
104,0.0448,-0.0687,70,104
88,0.0398,-0.0141,58,88
144,-0.0748,-0.4086,,144
153,-0.0321,-0.3909,,153
158,0,-0.3637,,158
156,0.0289,-0.3205,,156
150,0.0505,-0.2782,,150
141,0.0782,-0.2281,,141
131,0.0864,-0.1785,86,131
119,0.0867,-0.1306,79,119
105,0.0857,-0.0856,71,105
89,0.0767,-0.0274,59,89
159,0,-0.4277,,159
157,0.0321,-0.3909,,157
151,0.0681,-0.3486,,151
142,0.0908,-0.3074,,142
132,0.116,-0.2545,,132
121,0.1293,-0.1983,,121
120,0.128,-0.1467,80,120
106,0.126,-0.0995,72,106
90,0.1167,-0.0404,60,90
152,0.0748,-0.4086,,152
143,0.1015,-0.3677,,143
133,0.137,-0.3311,,133
122,0.1629,-0.2734,,122
109,0.171,-0.2171,,109
108,0.1732,-0.1598,81,108
107,0.1671,-0.1071,73,107
91,0.1584,-0.0525,61,91
134,0.1449,-0.399,,134
123,0.2039,-0.335,,123
110,0.2157,-0.2822,,110
95,0.2228,-0.2222,,95
94,0.2196,-0.1679,,94
93,0.2092,-0.1137,63,93
92,0.1933,-0.0685,62,92
76,0.2759,-0.1576,,76
75,0.2558,-0.1041,,75
74,0.2307,-0.0499,50,74
73,0.1932,-0.0168,49,73
72,0.1547,0.0016,48,72
71,0.1161,0.0152,47,71
70,0.0742,0.0261,46,70
87,0.0233,0.0355,45,87
59,0.2751,-0.0301,,59
58,0.2331,0.0135,38,58
57,0.189,0.04,37,57
56,0.1435,0.0529,36,56
55,0.1014,0.0652,35,55
69,0.0477,0.0703,34,69
45,0.2702,0.0475,,45
44,0.222,0.0778,27,44
43,0.1725,0.0922,26,43
42,0.1233,0.1019,25,42
54,0.0712,0.1089,24,54
32,0.2503,0.125,,32
31,0.1993,0.1379,17,31
30,0.1475,0.1406,16,30
41,0.1005,0.1451,15,41
20,0.2128,0.1894,,20
19,0.1617,0.1859,8,19
29,0.1224,0.1785,7,29
129,0,-0.13035,84,129
86,0,0,57,86
